Kind,ID,Url,Title,Description,Pinned
YouTube,ok3kajIFHow,,Entity Framework Tutorial with ASP.NET MVC,Entity Framework (EF) is an object-relational mapper that enables .NET developers to work with relational data using domain-specific objects. It eliminates the need for most of the data-access code that developers usually need to write.,1
YouTube,Z7713GBhi4k,,What is Entity Framework,Entity Framework is an ORM framework. ORM stands for Object Relational Mapping.,1
YouTube,ZX7_12fwQLU,,Entity Framework 6 Tutorial: Learn Entity Framework 6 from Scratch,Entity Framework 6 Tutorial: learn how to store and query data using Entity Framework 6.,1
YouTube,VYa7EdMnP4E,,"Entity Framework Core 2.0: data, mobile, server, IoT, and more","Entity Framework (EF) Core is a lightweight, extensible, and cross-platform version of the popular Entity Framework data access technology. In this demo-filled session we look at what's new in EF Core and what the team has planned for upcoming releases.",
YouTuble,FxLqn79G1vw,,What's new in Entity Framework Core 2 0,"Entity Framework (EF) Core is the lightweight, extensible, and cross-platform version of Entity Framework, the popular Object/Relational Mapping (O/RM) framework for .NET. This talk will give a quick look at the new features for .NET Core 2.0. ",
YouTuble,QgTguBcBp94,,Entity Framework - Migrations,"Code Based Migration. When you develop a new application, your data model changes frequently, and each time the model changes, it gets out of sync with the database. You have configured the Entity Framework to automatically drop and re-create the database each time you change the data model.",
YouTuble,sZEvfQ0D8Mg,,Step-By-Step Entity Framework Migrations,Entity Framework Automatic Migrations. Entity Framework Code-Based Migrations. Entity Framework Mixed Migrations,
YouTuble,hg3H_pAzoPI,,Entity Framework - Insert Update and Delete in C#,Entity Framework - Insert Update and Delete in C# Using SQL Server. In this tutorial we have discussed how to implement CRUD Operations Insert Update Delete and Select in Entity Framework Using C# and SQL Server.,
YouTube,sxrft6sChFw,,"Create, Read, Update and Delete Data Operation Using Entity Framework(CRUD Operation)","Create Data Operation Using Entity Framework, Read Data Operation Using Entity Framework, Update Data Operation Using Entity Framework, Delete Data Operation Using Entity Framework, Asp.Net, MVC, LINQ, HTML.",
YouTube,hWE6gsG8O-Q,,CRUD Operations In ASP.NET MVC 5 Using Entity Framework,This video tutorial explains about creating CRUD operations in ASP.NET MVC 5 using Entity Framework .,
YouTube,iwEG1M2ONrw,,Entity Framework Tutorial - Simple Repository Pattern C#,This video demonstrates how to set up Entity Framework using a simple generic repository pattern.,
YouTube,AwiN__AkYdk,,Entity Framework Using Repository & Unit of Work Pattern [C#],In this video we explore using Entity Framework with the Repository and Unit of Work pattern to access data in our database.,
YouTube,QwwfTWMrM9k,,URF (Unit of Work & Repository Framework) in ASP.NET MVC 5 with Entity Framework 6 & Unity 3 - v2,,
YouTube,VGRvi4-1VhA,,WPF Entity Framewok CRUD Create / Insert Read Update Delete,"In this project I'm making a WPF Entity Framework CRUD ( Create / Insert, Read, Update, Delete ). I made this project simplest and the easiest way to make people understand how Entity Framework Crud system works in with WPF.",
YouTube,sPEfn1xcwLk,,WPF Entity Framework Select - Insert - Update - Delete,C# WPF Form Entitiy Framework Connection Select insert update delete,
YouTube,HbDOhCjjxSY,,"Entity Framework 5.0 - Code First, no Database - Part 1 of 2",Quick video showing the basics of Entity Framework 5.0 Code first with no Database.,
YouTube,i7SDd5JcjN4,,Entity Framework 5.0 - Code First Migrations - How to update a database schema Part 2 of 2,In this video I quickly go over using EF migrations to add and remove columns from the existing database that was initially created with code first.,
YouTube,BOrLrvEtAfw,,Entity Framework 5.0 - Intro to Model First - Part 1 of 2,"Quick introduction to Model First, broken down into 2 parts.",
YouTube,Fbjhv2ft8Lc,,Entity Framework 5.0 - Intro to Model First - Part 2 of 2,"Quick introduction to Model First, broken down into 2 parts.",
YouTube,K4x6eoG7hwY,,C# Entity Framework 6 | Database First | Part 1 - Basic CRUD,"An introduction to Entity Framework 6 using C# for complete beginners. I cover traditional CRUD operations (select, insert, update, and delete) and explain how the Entity Framework simplifies your data access code and removes the need for low-level ADO.NET objects.",
YouTube,dXvSSnQJWPo,,C# Entity Framework 6 | Database First | Part 2 - Foreign Keys & Relationships,"This video introduces relationships between entities in the Entity Framework. We start by adding a new table and foreign key constraint to our database, then we propagate those changes to our model and begin coding.",
YouTube,o-cV_fSNMqw,,Entity Framework 5 - Database First,This video is a quick introduction to Database first.  If you have question please come check out our Google+ Community.,
YouTube,oycRolZUiLs,,Learning Entity Framework 6,Microsoft has clearly positioned the Entity Framework (EF) as the primary data access platform for .NET applications.  But many developers have yet to embrace the powerful Object Relational Mapping (ORM) capabilities that EF offers. ,
YouTube,lvIlGoeiFfk,,Entity Framework 6.1: Querying and Updating Data,"LINQ to Entities is a variant of the LINQ feature built into Visual Basic and C# ever since .NET 3.5.  It's designed for use with queries against the Data Entity Object, generated by the Entity Framework, based on your Entity Data Model.",
YouTube,zOjNbxvVZLU,,Linq + EntityFramework 5.1 + Lamda Expressions Beginner to Advance,I love Linq and EntityFramework and it help a beginner to become advance user of Linq and EntityFramework.,
YouTube,zuK6siUD3ow,,Entity Framework CRUD example with Stored Procedures,Step by step very simple example that shows how to perform CRUD operations with Entity Framework,
YouTube,8tZdA0z4BSs,,Entity Framework 6 and Stored Procedures,"How to use stored procedures with Entity Framework 6.  As always, source code is available for free on my svn which is covered in video 1 of this playlist.",
YouTube,uSvV7Ns9nCE,,"Using Your Own Stored Procedures to Insert, Update and Delete Entities in Entity Framework",,
YouTube,0nYD-_h5Nlk,,How to call/execute Parameterized Stored Procedure using Entity data model?,,
YouTube,TRH7rm8ozD4,,"Entity Framework - Insert, Update, Delete, Select in SQL Server | FoxLearn","CRUD Operations: Insert, Update, Delete, Select from sql database using c#, entity framework database first.",
YouTube,Ncbr5axCabM,,Entity Framework - Insert Update Delete View data in SQL Server using Three Tier | FoxLearn,Creating Three Tier Architecture using Entity Framework database first in C#.,
YouTube,hg3H_pAzoPI,,Entity Framework - Insert Update and Delete in C#,In this tutorial we have discussed how to implement CRUD Operations Insert Update Delete and Select in Entity Framework Using C# and SQL Server.,
YouTube,QMzoY48g924,,(ASP.NET Core 1.0 & MVC) Entity Framework Core Overview,"Entity Framework Core Overview video covers what Entity Framework is, why it is important to our application, and how it helps us to manage our data.",
YouTube,7o5MrOP6LrM,,(ASP.NET Core 1.0 & MVC) Installing Entity Framework Core,This Installing Entity Framework Core video covers the steps to take for installing the latest version of Entity Framework Core to your project. ,
YouTube,gvYis93MU6s,,(ASP.NET Core 1.0 & MVC) Entity Framework Core Code First Example,"This Entity Framework Core Code First Example video covers the first steps in creating a context for your entity framework, and the models for your application. ",
YouTube,iX-fb1ddfjM,,(ASP.NET Core 1.0 & MVC) Entity Framework Core Database First Example,This Entity Framework Core Database First Example video covers using the Entity Framework tooling to create a context class and models to connect to your pre-existing database. ,
YouTube,b8yXWNe4QWU,,(ASP.NET Core 1.0 & MVC) Entity Framework Core - Defining Table And Class Relationships,"This Configuring Our Context video covers using the OnModelCreating method to configure the database schema, navigation properties on your classes, and the relationships between your tables.",
YouTube,5lWlU--E5J8,,(ASP.NET Core 1.0 & MVC) How To Read Data With Entity Framework Core,This Reading Data With Entity Framework Core video covers how to get the data from your database context and display it in your views. ,
YouTube,1KORKuRTowY,,(ASP.NET Core 1.0 & MVC) How To Create Records With Entity Framework Core,This How To Create Records With Entity Framework Core video covers adding a new record to a database through entity framework core.,
YouTube,QdOHltBpj4k,,"When Hadi Met Julie: A Story of Entity Framework, ReSharper, a Spaniard and The Data Farm Queen","In the recording of this unscripted January 24th webinar, Hadi Hariri and Julie Lerman join forces to help you understand how to do Entity Framework Code First while enjoying the benefits of ReSharper.",1
YouTube,BeZdeWmW-4Q,,"C# MVC Entity Framework Database First Tutorial w/ SQL Server Management Studio Basics","A tutorial that will walk you through creating a database in SQL Server Management Studio then accessing the database in Visual Studio to create an ASP.NET MVC (model-view-controller) Web Application.",
YouTube,tABtlZQFrsE,,"C# Entity Framework Tutorial - Login","In this part I show how to make a login with an MS SQL server and the Entity Framework.",
YouTube,a2mn_0iNiRo,,"C# Entity Framework Tutorial part 2 - Filtering","In this part I show you how to use WHERE statements in the entity framework and how to display them. So basically I show you how to filter information from a table.",
YouTube,D2Jkunlp2vk,"Microsoft Entity Framework - Database First","This screencast is an introduction to Microsoft's Entity Framework using a Database first approach.",
YouTube,-lQuJ8DIoXU,"Entity Framework Basics","A basic tutorial (C#, SQL Server) on Entity Framework (database first): how to create, read, update and delete records using a worked example.",
YouTube,3bRCyaej5Js,"How to Use Code First with Entity Framework - Brendan Richards","A brief introduction to using Entity Framework Code-First with Code-First Migrations. This video walks through a sample web application that integrates a Code First data layer via Structure Map and the Repository Pattern. Code First Migrations is then added to the project to manage data schema changes.",
YouTube,l3WzYZsN0gU,"Entity Framework Code First End To End","Entity Framework Code First End To End at VS Live 2013 in Las Vegas",
YouTube,9deMQpiBX_U,"MVC4 Entity Framework 5 Code First project","MVC4 Entity Framework 5 Code First project",
YouTube,BOrLrvEtAfw,"Entity Framework 5.0 - Intro to Model First - Part 1 of 2","Quick introduction to Model First, broken down into 2 parts.",
YouTube,Fbjhv2ft8Lc,"Entity Framework 5.0 - Intro to Model First - Part 2 of 2","Quick introduction to Model First, broken down into 2 parts.",
YouTube,zOjNbxvVZLU,"Linq + EntityFramework 5.1 + Lamda Expressions Beginner to Advance","I love Linq and EntityFramework and it help a beginner to become advance user of Linq and EntityFramework.",
YouTube,NJMzZD_lr_M,"Entity Framework","The Entity Framework provides a class-based conceptual model that closely resembles entities and relationships in the real world, and includes an industrial-strength ORM (Object-Relational Mapping) tool that allows you to connect to a backend database.",
YouTube,sAAKu_SsaoA,"C# SQLite Tutorial - 5. ADO.NET Database First Entity Framework Data Model","ADO.Net is the Entity Framework Data Model that will make the underlying connections and methods for our C# application in order to connect to our Local SQLite Database project.",
YouTube,v3Tkk5JgfgM,"Entity Framework Core with SQLite for Xamarin Forms","Learn how to use Entity Framework Core with SQLite for Xamarin Forms to create CRUD operations on a database.",
YouTube,W3KgVuotUpo,"Xamarine and SQLite using Entitiy Framework","Youll create a small application where you use SQLite as a database and use entity framework to work with the data",
YouTube,Col_2RDI3_4,"MySQL In Asp.Net MVC CRUD Application Using Entity Framework","How to Create Asp.NET MVC With CRUD Operations Create Update Delete and View Using MySQL Server and Entity Framework.",
Lynda,559185,https://www.lynda.com/ASP-NET-tutorials/Getting-Started-Entity-Framework-6-1-3/506475-2.html,Learning Entity Framework 6.1.3,"Get started with Entity Framework 6.1.3, including unit testing, CRUD operations, and code first from an existing database.",1
Lynda,591532,https://www.lynda.com/Entity-Framework-tutorials/Learning-Entity-Framework-Core/559226-2.html,Learning Entity Framework Core,Learn how to improve code against existing databases (including less than desirable legacy databases) using Entity Framework Core.,1
Lynda,560667,https://www.lynda.com/Entity-Framework-tutorials/Accessing-Existing-Databases-Entity-Framework-Core/510080-2.html,Accessing Existing Databases with Entity Framework Core,Learn how to improve code against existing databases (including less than desirable legacy databases) using Entity Framework Core.,1
Lynda,677245,https://www.lynda.com/Angular-tutorials/Building-Applications-Angular-ASP-NET-Core-Entity-Framework-Core/609024-2.html,"Building Applications with Angular, ASP.NET Core, and Entity Framework Core",Learn how to choose an application architecture to use with Entity Framework Core for several different scenarios.,
Lynda,627747,https://www.lynda.com/Entity-Framework-tutorials/Practical-Application-Architecture-Entity-Framework-Core/569340-2.html,Practical Application Architecture with Entity Framework Core,Learn how to choose an application architecture to use with Entity Framework Core for several different scenarios.,
Channel9,Shows/Visual-Studio-Toolbox/Visual-Studio-Toolbox-Entity-Framework-Part-1,,Visual Studio Toolbox: Entity Framework Part 1,"In this episode, Entity Framework team discusses the three primary Entity Framework workflows, code first, database first, and model first and give some tips on when to use each.",1
Channel9,Events/Visual-Studio/Visual-Studio-2017-Launch/WEB-106,,Top 10 Entity Framework Features Every Developer Should Know,"EF Core improved many features from prior versions, as well as introduced brand new features. Here is the top 10 features of Entity Framework Core that every developer should know.",1
Channel9,Events/TechEd/NorthAmerica/2014/DEV-B417,,Entity Framework: Building Applications with Entity Framework 6,"Explore the features available in Entity Framework and see how these features can be used to build and test applications, including integration with other technologies and third-party frameworks.",1
Channel9,Events/Ignite/2016/BRK2184,,Access data in .NET Core 1.0 with Entity Framework,"Entity Framework Core is a lightweight and extensible version of EF that brings new features, new platforms, and improved performance.",
Channel9,Shows/Visual-Studio-Toolbox/Entity-Framework-Core,,Entity Framework Core,"In this episode, Robert is joined by Julie Lerman, who takes us on a deep-dive tour of many of the features that are new in Entity Framework Core.",
Channel9,Events/Build/2016/B852,,Entity Framework Core 1.0,"Entity Framework Core is a lightweight and extensible version of EF that brings new features, new platforms, and improved performance.",
Channel9,Events/dotnetConf/2017/T221,,What's New in Entity Framework Core 2.0,"Entity Framework Core is a lightweight, extensible, and cross-platform version of the popular Entity Framework data access technology. In this session we'll look at what's new in EF Core 2.0 and what the team has planned for upcoming releases.",
Channel9,Blogs/EF/Code-First-to-Existing-Database-EF6-1-Onwards-/,,Code First to Existing Database (EF6.1 Onwards),"Entity Framework Tools for Visual Studio to reverse engineer a Code First model from an existing database. This functionality was introduced in EF6.1 as part of our Tooling Consolidation work to provide a single, unified set of tooling for Entity Framework.",